"Ürün","Kategori","Alt Kategori","Saklama Koşulu","Raf Ömrü","Stok","Satış Fiyatı","Rezerv","Statü"
"Yumoş Extra Konsantre Çamaşır Yumuşatıcı Yabani Orkide & Yasemin 60 Yıkama (1440 ml)","Ev Bakım","Çamaşır","Oda Koşulları","540","10","₺32,49","","Aktif"
"Heinz Mayonez (400 g)","Temel Gıda","Salça & Sos","Oda Koşulları","270","17","₺19,15","","Aktif"
"Schweppes Tonik (1 L)","Su & İçecek","Gazlı İçecek","Oda Koşulları","150","6","₺8,65","","Aktif"
"Lipton Ice Tea Limon (1,5 L)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","365","10","₺7,00","","Aktif"
"Pepsi Max (4 x 250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","180","7","₺12,65","","Aktif"
"Nescafé Xpress Original (250 ml)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","540","46","₺8,75","","Aktif"
"Nescafé Xpress Black Roast (250 ml)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","540","17","₺8,75","","Aktif"
"Coca-Cola (4 x 1 L)","Su & İçecek","Gazlı İçecek","Oda Koşulları","","11","₺21,00","","Aktif"
"Pepsi (4 x 1 L)","Su & İçecek","Gazlı İçecek","Oda Koşulları","180","0","₺20,45","","Aktif"
"S.Pellegrino Doğal Mineralli Su (750 ml)","Su & İçecek","Maden Suyu","Oda Koşulları","365","3","₺14,65","","Aktif"
"Yayla Patlayan Mısır (500 g)","Temel Gıda","Bakliyat","Oda Koşulları","730","14","₺6,35","","Aktif"
"Heinz Sarımsaklı Mayonez (400 g)","Temel Gıda","Salça & Sos","Oda Koşulları","270","13","₺25,00","","Aktif"
"Red Bull Enerji İçeceği (4 x 250 ml)","Su & İçecek","Enerji İçeceği","Oda Koşulları","720","14","₺31,75","","Aktif"
"Dardanel Zeytinyağlı Konserve Ton Balığı (3 x 75 g)","Yiyecek","Konserve & Turşu","Oda Koşulları","1095","4","₺37,90","","Aktif"
"Lipton Earl Grey Bardak Poşet Çay (25'li)","Su & İçecek","Çay","Oda Koşulları","720","0","₺15,95","","Aktif"
"Sek %3 Yağlı Barista Sütü (1 L)","Süt & Kahvaltı","Süt","Oda Koşulları","150","11","₺10,95","","Aktif"
"Perrier Misket Limonu Aromalı Doğal Mineralli Su (250 ml)","Su & İçecek","Maden Suyu","Oda Koşulları","730","59","₺8,75","","Aktif"
"Nescafé Classic (20'li)","Su & İçecek","Kahve","Oda Koşulları","720","0","₺7,75","","İnaktif"
"Barilla Spagetti Makarna (500 g)","Temel Gıda","Makarna","Oda Koşulları","960","25","₺8,15","","Aktif"
"Obsesso Coffee Mocha (250 ml)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","240","7","₺7,75","","Aktif"
"Erikli Mineral Elma (200 ml)","Su & İçecek","Maden Suyu","Oda Koşulları","30","0","₺2,75","","İnaktif"
"Sarelle Fındık Ezmesi (350 g)","Atıştırmalık","Sürülebilir","Oda Koşulları","360","7","₺38,95","","Aktif"
"Red Bull Enerji İçeceği (250 ml)","Su & İçecek","Enerji İçeceği","Oda Koşulları","360","29","₺8,35","","Aktif"
"Kahve Dünyası Orta Kavrulmuş Türk Kahvesi (100 g)","Su & İçecek","Kahve","Oda Koşulları","240","0","₺8,25","","Aktif"
"Lipton Ice Tea Limon (4 x 250 ml)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","365","7","₺12,65","","Aktif"
"Erikli Mineral Limon (200 ml)","Su & İçecek","Maden Suyu","Oda Koşulları","365","0","₺2,75","","İnaktif"
"Green Life Susam (75 g)","Temel Gıda","Baharat","Oda Koşulları","730","7","₺4,10","","Aktif"
"M&M's Yer Fıstıklı Draje (100 g)","Atıştırmalık","Çikolata","+18 maksimum","365","12","₺12,05","1","Aktif"
"Ülker Çikolatalı Gofret (36 g)","Atıştırmalık","Gofret","+18 maksimum","365","150","₺1,65","5","Aktif"
"The LifeCo Organik Hindistan Cevizi Yağı (150 ml)","Fit & Form","Organik","Oda Koşulları","730","0","₺22,85","","İnaktif"
"Nutella Kakaolu Fındık Kreması (400 g)","Atıştırmalık","Sürülebilir","Oda Koşulları","365","39","₺20,65","","Aktif"
"Nescafé 3'ü 1 Arada Original (10'lu)","Su & İçecek","Kahve","Oda Koşulları","540","21","₺11,95","","Aktif"
"Indomie Tavuk Çeşnili Paket Hazır Noodle (5 x 70 g)","Yiyecek","Hazır Yemek","Oda Koşulları","365","0","₺11,85","","Aktif"
"Coca-Cola (250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","365","46","₺4,15","","Aktif"
"Aptamil 1 Bebek Sütü (350 g)","Bebek","Mama","Oda Koşulları","540","6","₺85,90","","Aktif"
"Perrier Greyfurt Aromalı Doğal Mineralli Su (250 ml)","Su & İçecek","Maden Suyu","Oda Koşulları","540","23","₺8,75","","Aktif"
"Tat Doğranmış Domates (340 g)","Temel Gıda","Salça & Sos","Oda Koşulları","730","7","₺8,95","","Aktif"
"Kemal Kükrer Acılı Şalgam Cam Şişe (250 ml)","Su & İçecek","Meyve Suyu","Oda Koşulları","360","0","₺2,95","","Aktif"
"Sütaş Yarım Yağlı Süt (1 L)","Süt & Kahvaltı","Süt","Oda Koşulları","150","67","₺7,50","","Aktif"
"Tadım İşlenmiş Kaju Fıstığı (75 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","7","₺16,50","","Aktif"
"Tadım Kavrulmuş Antep Fıstığı (90 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","7","₺16,50","","Aktif"
"Nescafé Gold Tek İçimlik Kahve (14'lü)","Su & İçecek","Kahve","Oda Koşulları","540","0","₺15,45","","Aktif"
"Damla Minera Doğal Maden Suyu (330 ml)","Su & İçecek","Maden Suyu","Oda Koşulları","365","10","₺4,45","","Aktif"
"Tukaş Garnitür (560 g)","Yiyecek","Konserve & Turşu","Oda Koşulları","1260","0","₺6,65","","Aktif"
"Marmarabirlik Gold Siyah Zeytin Teneke (400 g)","Süt & Kahvaltı","Zeytin","Oda Koşulları","730","3","₺27,75","","Aktif"
"Dr. Oetker Krem Şanti (150 g)","Temel Gıda","Pasta Malzemeleri","Oda Koşulları","540","12","₺9,15","","Aktif"
"Dr. Oetker Hamur Kabartma Tozu (15 x 10 g)","Temel Gıda","Pasta Malzemeleri","Oda Koşulları","720","12","₺5,55","","Aktif"
"Jelibon Sour Patch Karpuz (80 g)","Atıştırmalık","Sakız & Şekerleme","Oda Koşulları","365","Sayımda","₺5,25","","Aktif"
"Dardanel Ayçiçek Yağlı Konserve Ton Balığı (3 x 75 g)","Yiyecek","Konserve & Turşu","Oda Koşulları","1095","3","₺34,90","","Aktif"
"Tadım İşlenmiş Yer Fıstığı (200 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","0","₺10,25","","Aktif"
"Malatya Pazarı MP Antep Fıstığı (180 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","360","0","₺34,25","","İnaktif"
"Dardanel Konserve Limon Soslu Fileto Uskumru (110 g)","Yiyecek","Konserve & Turşu","Oda Koşulları","1440","0","₺16,50","","Aktif"
"Oreo (95 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","365","13","₺7,95","","Aktif"
"Tadım Kavrulmuş Antep Fıstığı (180 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","17","₺32,50","","Aktif"
"Dardanel Klasik Sardalya (105 g)","Yiyecek","Konserve & Turşu","Oda Koşulları","1440","0","₺10,95","","Aktif"
"Knorr Kıtırlı Domates Çabuk Çorba (22 g)","Temel Gıda","Çorba","Oda Koşulları","720","29","₺2,15","","Aktif"
"Koska Fıstıklı Helva (200 g)","Atıştırmalık","Helva & Krokan","Oda Koşulları","720","0","₺15,25","","Aktif"
"Eat Real Deniz Tuzlu Nohut Cipsi (45 g)","Atıştırmalık","Cips","Oda Koşulları","365","0","₺18,99","","Aktif"
"Granolife Bitter Çikolatalı Granola (100 g)","Fit & Form","Granola","Oda Koşulları","360","0","₺10,00","","İnaktif"
"Tadım Kavrulmuş Kabak Çekirdeği (80 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","0","₺8,95","","Aktif"
"Tadım Kavrulmuş Tuzlu Yer Fıstığı (180 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","120","21","₺12,00","","Aktif"
"Oreo (220 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","365","15","₺15,95","","Aktif"
"Herby Sleep Tea Uyku Öncesi Çayı (20'li)","Su & İçecek","Çay","Oda Koşulları","730","5","₺15,90","","Aktif"
"Gourmet Garage Siyah Çikolatalı Kurabiye (200 g)","Fırından","Unlu Mamüller","Oda Koşulları","180","0","₺18,95","","Aktif"
"Koska Fındık Püreli Tahin Pekmez (320 g)","Süt & Kahvaltı","Bal & Reçel","Oda Koşulları","540","0","₺15,90","","Aktif"
"Heinz Hardal (240 g)","Temel Gıda","Salça & Sos","Oda Koşulları","360","0","₺11,95","","Aktif"
"Kronotrop Espresso Kapsülü (10'lu)","Su & İçecek","Kahve","Oda Koşulları","360","1","₺58,25","","Aktif"
"Tadım Festival Karışık Kuruyemiş (180 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","12","₺27,50","","Aktif"
"Nescafé Classic Cam (100 g)","Su & İçecek","Kahve","Oda Koşulları","720","17","₺24,45","1","Aktif"
"Tadım Beyaz Leblebi (200 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","14","₺10,25","","Aktif"
"Tadım Çifte Kavrulmuş Sarı Leblebi (200 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","14","₺10,25","","Aktif"
"Tadım Karışık Klasik Kuruyemiş (180 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","14","₺19,25","","Aktif"
"Jacobs Monarch Filtre Kahve (250 g)","Su & İçecek","Kahve","Oda Koşulları","549","6","₺37,25","1","Aktif"
"Kellogg's Special K Sade Kahvaltılık Gevrek (420 g)","Süt & Kahvaltı","Kahvaltılık Gevrek","Oda Koşulları","365","11","₺13,95","","Aktif"
"Luppo Kakaolu Sandviç Kek (184 g)","Atıştırmalık","Kek & Bisküvi","+18 maksimum","360","5","₺7,45","","Aktif"
"Tadım Kavrulmuş Ay Çekirdeği (285 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","24","₺13,25","","Aktif"
"Tadım Kavrulmuş Kabuklu Yer Fıstığı (250 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","0","₺16,50","1","Aktif"
"Tadım Çiğ Karışık Kuruyemiş (75 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","11","₺12,25","","Aktif"
"Peyman Bahçeden Çiğ Ceviz İçi (140 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","19","₺29,50","","Aktif"
"Tadım Ceviz İçi (150 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","17","₺30,25","","Aktif"
"Tadım Siyah Kavrulmuş Ay Çekirdeği (180 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","25","₺8,75","","Aktif"
"Peyman Çitliyo Kara Şimşek Klasik (120 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","120","10","₺7,95","","Aktif"
"CP Orta Boy Omega 3 Yumurta (10'lu)","Süt & Kahvaltı","Yumurta","Oda Koşulları","28","32","₺19,25","","Aktif"
"Kahve Dünyası Sütlü Bonte (200 g)","Atıştırmalık","Çikolata","+18 maksimum","180","4","₺21,95","","Aktif"
"Kahve Dünyası Fıstıklı Sütlü Draje (180 g)","Atıştırmalık","Çikolata","+18 maksimum","360","0","₺14,45","","Aktif"
"Yayla Fasulye Pilaki (400 g)","Yiyecek","Hazır Yemek","Oda Koşulları","730","12","₺8,25","","Aktif"
"Ülker %60 Bitter Kare Çikolata (60 g)","Atıştırmalık","Çikolata","+18 maksimum","365","16","₺5,75","","Aktif"
"Nestlé 1927 %82 Bitter Çikolata (60 g)","Atıştırmalık","Çikolata","Oda Koşulları","360","11","₺6,95","1","Aktif"
"Sarbey Orta Boy Yumurta (15'li)","Süt & Kahvaltı","Yumurta","Oda Koşulları","28","26","₺23,70","","Aktif"
"Kahve Dünyası Frutibon Yaban Mersinli Bitter Çikolatalı Draje (150 g)","Atıştırmalık","Çikolata","+18 maksimum","150","11","₺25,95","","Aktif"
"Sarelle Kakaolu Fındık Ezmesi (350 g)","Atıştırmalık","Sürülebilir","Oda Koşulları","360","4","₺22,15","","Aktif"
"Kahve Dünyası Kolombiya Filtre Kahve (200 g)","Su & İçecek","Kahve","Oda Koşulları","180","6","₺56,25","","Aktif"
"Nestlé Classic Beyaz Kare Çikolata (60 g)","Atıştırmalık","Çikolata","Oda Koşulları","540","14","₺5,85","","Aktif"
"Nestlé 1927 Bademli Beyaz Çikolata (65 g)","Atıştırmalık","Çikolata","Oda Koşulları","360","0","₺6,10","","Aktif"
"Tadelle King Size Fındık Dolgulu Sütlü Çikolata (52 g)","Atıştırmalık","Çikolata","Oda Koşulları","360","20","₺6,95","1","Aktif"
"Milka Oreo Tablet Çikolata (100 g)","Atıştırmalık","Çikolata","Oda Koşulları","270","23","₺13,15","","Aktif"
"Tadelle Beyaz Çikolata Kaplı Fındık Dolgulu Sütlü Çikolata (30 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","17","₺4,15","1","Aktif"
"Ülker Metro Protein Bar (50 g)","Fit & Form","Bar","Oda Koşulları","365","0","₺6,85","","Aktif"
"Alpro Badem İçeceği (1 L)","Süt & Kahvaltı","Süt","Oda Koşulları","273","5","₺31,90","","Aktif"
"Yayla Nohutlu Bulgur Pilavı (250 g)","Yiyecek","Hazır Yemek","Oda Koşulları","540","25","₺7,65","","Aktif"
"Milka Lu Bisküvili Çikolata (87 g)","Atıştırmalık","Çikolata","Oda Koşulları","275","0","₺9,75","","Aktif"
"Nestlé Classic Çıtır Gofret (27 g)","Atıştırmalık","Gofret","Oda Koşulları","360","0","₺1,75","","Aktif"
"Felix Junior Tavuklu Pouch Yaş Yavru Kedi Maması (100 g)","Evcil Hayvan","Kedi","Oda Koşulları","","0","₺5,45","","Aktif"
"Mİ’CAO El Yapımı Çilekli Granolalı Chialı Sütlü Çikolata Tablet (70 g)","Atıştırmalık","Çikolata","Oda Koşulları","180","0","₺34,90","","Aktif"
"Nesquik Gofret (27 g)","Atıştırmalık","Gofret","Oda Koşulları","360","50","₺1,75","","Aktif"
"Bounty (57 g)","Atıştırmalık","Çikolata","+18 maksimum","365","27","₺5,45","1","Aktif"
"Milka Milkinis Süt Dolgulu Çikolata (44 g)","Atıştırmalık","Çikolata","Oda Koşulları","275","28","₺6,95","","Aktif"
"M&M's Çikolatalı Draje (100 g)","Atıştırmalık","Çikolata","+18 maksimum","365","14","₺12,05","","Aktif"
"Tadım Bol Tuzlu Ay Çekirdeği (180 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","32","₺8,75","","Aktif"
"Danone Pro+ Kakaolu Süt (330 ml)","Fit & Form","Süt Ürünleri","Oda Koşulları","70","0","₺9,25","","İnaktif"
"Kahve Dünyası Gofrik Fıstıklı Sütlü Gofret (33 g)","Atıştırmalık","Gofret","+18 maksimum","300","Sayımda","₺4,95","","Aktif"
"Purina One Junior Tavuklu Yavru Kuru Kedi Maması (800 g)","Evcil Hayvan","Kedi","Oda Koşulları","540","9","₺63,25","","Aktif"
"Koska Sade Helva (200 g)","Atıştırmalık","Helva & Krokan","Oda Koşulları","720","0","₺9,50","","Aktif"
"Twix (50 g)","Atıştırmalık","Çikolata","+18 maksimum","270","23","₺4,65","","Aktif"
"Nestlé Damak Antep Fıstıklı Çikolata (30 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","0","₺5,50","","Aktif"
"Nestlé Damak İnci Antep Fıstıklı Beyaz Çikolata (63 g)","Atıştırmalık","Çikolata","Oda Koşulları","360","46","₺9,10","","Aktif"
"Nestlé Damak Gece Antep Fıstıklı %55 Bitter Çikolata (63 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","8","₺9,10","","Aktif"
"Tadelle Fındık Dolgulu Sütlü Çikolata (30 g)","Atıştırmalık","Çikolata","Oda Koşulları","360","31","₺3,95","","Aktif"
"Tadım Yer Fıstıklı Bar (30 g)","Fit & Form","Bar","Oda Koşulları","180","34","₺2,30","","Aktif"
"Ülker Rulokat (170 g)","Atıştırmalık","Gofret","Oda Koşulları","365","16","₺8,95","","Aktif"
"Nesfit Tam Tahıllı Bitter Çikolatalı Bar (23,5 g)","Fit & Form","Bar","+18 maksimum","360","15","₺4,45","","Aktif"
"Nesquik Kakaolu Süt (6 x 180 ml)","Süt & Kahvaltı","Süt","+18 maksimum","270","Sayımda","₺22,50","","Aktif"
"Milka Beyaz Çikolata (80 g)","Atıştırmalık","Çikolata","Oda Koşulları","275","13","₺13,15","1","Aktif"
"Toblerone (100 g)","Atıştırmalık","Çikolata","+18 maksimum","275","5","₺18,65","","Aktif"
"Ülker Halley Mini Granüllü (66 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","365","35","₺2,75","","Aktif"
"Mars (51 g)","Atıştırmalık","Çikolata","+18 maksimum","365","22","₺4,75","","Aktif"
"Snickers (50 g)","Atıştırmalık","Çikolata","+18 maksimum","365","105","₺4,65","","Aktif"
"Nesquik Kakaolu Tam Tahıllı Bar (25 g)","Atıştırmalık","Bar","Oda Koşulları","360","0","₺3,95","","Aktif"
"Nestlé 1927 Çifte Kavrulmuş Fındıklı Gofret (33 g)","Atıştırmalık","Gofret","Oda Koşulları","360","37","₺2,50","","Aktif"
"Doğa Tek Sargılı Küp Şeker (1 kg)","Temel Gıda","Şeker","Oda Koşulları","1080","0","₺6,00","","Aktif"
"Purina One Kısırlaştırılmış Kedi Maması Sığır Etli (800 g)","Evcil Hayvan","Kedi","Oda Koşulları","540","8","₺63,25","","Aktif"
"Ruffles Ketçaplı Patates Cipsi Süper Boy (107 g)","Atıştırmalık","Cips","Oda Koşulları","150","61","₺6,39","","Aktif"
"Doritos Nacho Peynirli Mısır Cipsi (169 g)","Atıştırmalık","Cips","Oda Koşulları","120","18","₺8,89","","Aktif"
"Doritos Nacho Peynirli Mısır Cipsi Süper Boy (113 g)","Atıştırmalık","Cips","Oda Koşulları","120","17","₺6,39","","Aktif"
"Ruffles Ketçaplı (150 g)","Atıştırmalık","Cips","Oda Koşulları","150","29","₺8,89","","Aktif"
"Lay's Yoğurt Mevsim Yeşillikli Patates Cipsi Süper Boy (107 g)","Atıştırmalık","Cips","Oda Koşulları","150","16","₺6,39","","Aktif"
"Lay's Fırından Yoğurt ve Mevsim Yeşillikli (96 g)","Atıştırmalık","Cips","Oda Koşulları","150","31","₺6,39","1","Aktif"
"Ruffles Maximum Peynir Soğan Patates Cipsi Süper Boy (107 g)","Atıştırmalık","Cips","Oda Koşulları","150","20","₺6,39","","Aktif"
"CP Orta Boy Gezen Tavuk Yumurtası (10'lu)","Süt & Kahvaltı","Yumurta","Oda Koşulları","28","49","₺23,20","","Aktif"
"Dr. Oetker Kakao (2 x 25 g)","Temel Gıda","Pasta Malzemeleri","Oda Koşulları","720","15","₺5,65","","Aktif"
"Çerezza Popcorn Patlamış Mısır Süper Boy (108 g)","Atıştırmalık","Cips","Oda Koşulları","120","37","₺4,99","","Aktif"
"Lay's Baharat Çeşnili Süper Boy (107 g)","Atıştırmalık","Cips","Oda Koşulları","150","46","₺6,39","","Aktif"
"Toffifee Bütün Fındıklı & Karamelli Çikolata (125 g)","Atıştırmalık","Çikolata","Oda Koşulları","360","12","₺18,15","","Aktif"
"Milka Bubbly Sütlü Çikolata (80 g)","Atıştırmalık","Çikolata","Oda Koşulları","275","0","₺9,75","","Aktif"
"Schweppes Mandalina (1 L)","Su & İçecek","Gazlı İçecek","Oda Koşulları","150","16","₺8,25","","Aktif"
"Koska Tahin (300 g)","Süt & Kahvaltı","Bal & Reçel","Oda Koşulları","540","0","₺21,95","","Aktif"
"Malatya Pazarı MP Party Mix Karışık Kuruyemiş (500 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","365","0","₺28,90","","Aktif"
"Dardanel Konserve Dört Tahıllı Ton Balığı (185 g)","Yiyecek","Konserve & Turşu","Oda Koşulları","1095","11","₺14,90","","Aktif"
"Cakes & Bakes Kakao ve Damla Çikolatalı Kurabiye (110 g)","Fırından","Unlu Mamüller","Oda Koşulları","75","11","₺12,95","","Aktif"
"Kahve Dünyası Popçik Çikolata (40 g)","Atıştırmalık","Çikolata","+18 maksimum","270","16","₺6,25","","Aktif"
"Nestlé Damak Antep Fıstıklı Çikolata (63 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","49","₺9,10","","Aktif"
"Tadım Kavrulmuş Kabak Çekirdeği (180 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","11","₺18,50","","Aktif"
"Selanik Gevreği (75 g)","Fırından","Unlu Mamüller","Oda Koşulları","75","0","₺11,95","","İnaktif"
"Uno Dondurulmuş Simit (4'lü)","Fırından","Donuk Fırın","-18","180","0","₺8,95","","Aktif"
"Magnum Mini Classic, Badem, Beyaz (6'lı)","Dondurma","Çoklu","-18","720","9","₺27,50","","Aktif"
"So Good Yer Fıstıklı (275 ml)","Dondurma","Kutu","-18","540","0","₺10,00","","İnaktif"
"Cornetto Disc Milka (135 ml)","Dondurma","Külah","-18","730","25","₺7,00","2","Aktif"
"Carte d'Or Passion Çikolata (250 ml)","Dondurma","Kutu","-18","720","0","₺5,25","","İnaktif"
"Cakes & Bakes Lezzet Arası Marble Kek (115 g)","Yiyecek","Tatlı","Oda Koşulları","14","0","₺9,95","","İnaktif"
"Sarbey Büyük Boy Yumurta (6'lı)","Süt & Kahvaltı","Yumurta","Oda Koşulları","28","43","₺10,95","1","Aktif"
"CP Büyük Boy Yumurta (15'li)","Süt & Kahvaltı","Yumurta","Oda Koşulları","28","33","₺24,80","","Aktif"
"Erikli Su (500 ml)","Su & İçecek","Su","Oda Koşulları","360","1187","₺2,00","48","Aktif"
"Coca-Cola Star Wars Sıfır Şeker (330 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","180","0","₺3,95","","İnaktif"
"Balparmak Çıtkapak Süzme Çam Balı (350 g)","Süt & Kahvaltı","Bal & Reçel","Oda Koşulları","530","0","₺43,75","","Aktif"
"Raya Organik Kırmızı Mercimek (500 g)","Temel Gıda","Bakliyat","Oda Koşulları","720","5","₺11,90","","Aktif"
"Kınık Sade Maden Suyu (6 x 200 ml)","Su & İçecek","Maden Suyu","Oda Koşulları","365","0","₺6,45","","Aktif"
"Elite Detox Skinny (200 ml)","Su & İçecek","Meyve Suyu","Oda Koşulları","540","10","₺10,25","","Aktif"
"Sütaş %2,5 Yağlı Süt (4 x 1 L)","Süt & Kahvaltı","Süt","Oda Koşulları","150","0","₺31,15","","Aktif"
"Tat Gurme Kremalı Domates Çorbası (415 g)","Temel Gıda","Çorba","Oda Koşulları","365","0","₺8,50","","Aktif"
"Federal Coffee Filtre Kahve (250 g)","Su & İçecek","Kahve","Oda Koşulları","180","7","₺49,90","","Aktif"
"Ülker Bebe Bisküvisi (400 g)","Bebek","Mama","Oda Koşulları","360","11","₺10,45","","Aktif"
"Milka Gofree Çikolatalı Gofret (38 g)","Atıştırmalık","Gofret","Oda Koşulları","275","0","₺2,75","","Aktif"
"Coca-Cola Light (1 L)","Su & İçecek","Gazlı İçecek","Oda Koşulları","150","13","₺5,95","","Aktif"
"Dr. Oetker Buğday Nişastası (150 g)","Temel Gıda","Pasta Malzemeleri","Oda Koşulları","720","0","₺4,20","","Aktif"
"Kellogg's Special K Bitter Çikolatalı Mısır Gevreği (400 g)","Süt & Kahvaltı","Kahvaltılık Gevrek","Oda Koşulları","365","5","₺18,95","","Aktif"
"Alpro Badem İçeceği (250 ml)","Süt & Kahvaltı","Süt","Oda Koşulları","273","8","₺10,45","","Aktif"
"Fanta (6 x 250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","365","14","₺20,95","1","Aktif"
"Coca-Cola Zero Sugar (4 x 1 L)","Su & İçecek","Gazlı İçecek","Oda Koşulları","150","25","₺21,00","","Aktif"
"Mom's Çilek & Chia Granola (360 g)","Fit & Form","Granola","Oda Koşulları","365","4","₺35,90","","Aktif"
"Veggy Vegan Köfte (300 g)","Yiyecek","Vegan","Oda Koşulları","365","0","₺29,95","","Aktif"
"Ülker Krispi Tırtıklı Kraker Baharatlı (92 g)","Atıştırmalık","Kraker & Kurabiye","Oda Koşulları","270","42","₺3,20","","Aktif"
"Berrak Salatalık Turşusu (340 g)","Yiyecek","Konserve & Turşu","Oda Koşulları","1095","15","₺11,45","1","Aktif"
"Pringles Texas Barbekü (165 g)","Atıştırmalık","Cips","Oda Koşulları","450","17","₺17,79","","Aktif"
"Ülker Çokoprens Atıştırmalık (81 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","365","18","₺2,30","","Aktif"
"Sütaş %2,5 Yağlı Süt (1 L)","Süt & Kahvaltı","Süt","Oda Koşulları","150","25","₺8,65","","Aktif"
"Ülker Caramio Karamel Dolgulu Kare Çikolata (55 g)","Atıştırmalık","Çikolata","+18 maksimum","365","0","₺1,35","","İnaktif"
"Beyoğlu Gazozu Karışık Meyveli (6 x 250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","545","0","₺16,35","","İnaktif"
"Lindo Cat Kedi Kumu Sabunlu İnce Taneli (5 L)","Evcil Hayvan","Kedi","Oda Koşulları","720","0","₺23,90","","Aktif"
"Ecos3 Sıvı Çamaşır Deterjanı Ultra Konsantre Organik 22 Yıkama (750 ml)","Ev Bakım","Çamaşır","Oda Koşulları","1080","0","₺68,99","","Aktif"
"Yumoş Doğal Özler Çamaşır Yumuşatıcı Vanilya & Pamuk Çiçeği 50 Yıkama (1200 ml)","Ev Bakım","Çamaşır","Oda Koşulları","540","2","₺32,50","","Aktif"
"StopEver Thermal Hot Termal Terapi Plasteri (13 x 10 cm)","Kişisel Bakım","Genel Sağlık","Oda Koşulları","","0","₺14,95","","Aktif"
"Omo Sıvı Çamaşır Deterjanı Active 30 Yıkama (1950 ml)","Ev Bakım","Çamaşır","Oda Koşulları","720","0","₺47,99","","Aktif"
"Veet Hassas Ciltler İçin Tüy Dökücü Krem (100 ml)","Kişisel Bakım","Ağda & Tüy Dökücü","Oda Koşulları","1080","4","₺37,50","","Aktif"
"Ecos3 Organik Otomatik Bulaşık Makinesi Jeli 30 Yıkama (750 ml)","Ev Bakım","Bulaşık","Oda Koşulları","1080","0","₺68,90","","Aktif"
"Arko Nem Soft Touch Nemlendirici Bakım Kremi (75 ml)","Kişisel Bakım","Vücut & El Bakım","Oda Koşulları","1800","0","₺8,95","","Aktif"
"Cook Çöp Torbası Büyük Boy (7'li - 65 x 80 cm)","Ev Bakım","Mutfak","Oda Koşulları","","70","₺7,49","","Aktif"
"Metaltex Imperial Metal Dondurma Kaşığı (Metal)","Ev & Yaşam","Mutfak Ürünleri","Değerli Ürün","","9","₺31,90","","Aktif"
"Proline Bentonit Topaklanan Kedi Kumu (5 L)","Evcil Hayvan","Kedi","Oda Koşulları","720","4","₺23,95","","Aktif"
"Cook Kesilmiş Pişirme Kağıdı (42 x 37 cm)","Ev Bakım","Mutfak","Oda Koşulları","","33","₺13,45","","Aktif"
"Durex Yok Ötesi Ultra Kaygan (10'lu)","Cinsel Sağlık","Prezervatif","Değerli Ürün","1095","0","₺27,45","","Aktif"
"Doritos Taco Baharatlı Mega Boy (218 g)","Atıştırmalık","Cips","Oda Koşulları","120","0","₺10,19","","Aktif"
"Sırma Doğal Maden Suyu (6 x 200 ml)","Su & İçecek","Maden Suyu","Oda Koşulları","570","68","₺8,55","1","Aktif"
